Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Connor Wong,28,126,487,447,54,125,24,1,13,52,8,7,28,114,0.28,0.333,0.425,0.758,110,190,7,9,1,2,1,wongco01
2,1B,Dominic Smith*,29,84,278,249,29,59,20,0,6,34,1,1,25,65,0.237,0.317,0.39,0.706,96,97,7,4,0,0,0,smithdo02
3,2B,Enmanuel Valdez*,25,76,223,201,23,43,12,0,6,28,1,1,17,53,0.214,0.27,0.363,0.633,74,73,4,0,1,4,0,valdeen01
4,SS,Ceddanne Rafaela,23,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,82,212,8,7,2,3,1,rafaece01
5,3B,Rafael Devers*,27,138,601,525,87,143,34,5,28,83,3,0,67,147,0.272,0.354,0.516,0.871,139,271,13,3,0,6,14,deverra01
6,LF,Tyler O'Neill,29,113,473,411,74,99,18,0,31,61,4,0,53,159,0.241,0.336,0.511,0.847,132,210,13,7,0,2,5,oneilty01
7,CF,Jarren Duran*,27,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,129,330,6,6,1,3,1,duranja01
8,RF,Wilyer Abreu*,25,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,114,183,7,3,0,5,0,abreuwi02
9,DH,Masataka Yoshida*,30,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,112,157,6,14,0,2,0,yoshima02
10,MI,David Hamilton*,26,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,92,116,1,1,0,0,0,hamilda03
11,OF,Rob Refsnyder,33,93,307,272,32,77,16,1,11,40,2,2,28,78,0.283,0.359,0.471,0.83,129,128,6,5,0,1,2,refsnro01
12,1B,Triston Casas*,24,63,243,212,28,51,8,0,13,32,0,1,30,77,0.241,0.337,0.462,0.8,120,98,6,1,0,0,4,casastr01
13,IF,Romy Gonzalez,27,89,216,199,25,53,10,1,6,29,11,3,12,58,0.266,0.306,0.417,0.723,99,83,5,1,0,4,0,gonzaro01
14,C,Reese McGuire*,29,53,158,139,10,29,3,0,3,18,3,0,13,39,0.209,0.28,0.295,0.575,61,41,4,2,1,3,0,mcguire01
15,2B,Vaughn Grissom,23,31,114,105,10,20,3,0,0,6,2,0,7,24,0.19,0.246,0.219,0.465,31,23,3,1,0,1,0,grissva01
16,SS,Trevor Story,31,26,106,94,8,24,7,0,2,10,6,3,11,33,0.255,0.34,0.394,0.733,104,37,2,1,0,0,2,storytr01
17,C,Danny Jansen,29,30,96,80,8,15,0,0,3,6,0,0,15,19,0.188,0.323,0.3,0.623,75,24,3,1,0,0,0,janseda01
18,CI,Bobby Dalbec,29,37,93,83,6,11,2,0,1,8,3,0,8,43,0.133,0.217,0.193,0.41,16,16,1,1,1,0,0,dalbebo01
19,IF,Nick Sogard#,26,31,86,77,13,21,4,0,0,8,3,0,7,25,0.273,0.326,0.325,0.65,82,25,4,0,0,2,0,sogarni01
20,DH,Garrett Cooper,33,24,75,70,3,12,4,0,0,5,0,0,3,22,0.171,0.227,0.229,0.455,28,16,2,2,0,0,0,coopega03
21,IF,Pablo Reyes,30,21,64,60,4,11,2,0,0,5,1,2,3,19,0.183,0.234,0.217,0.451,27,13,1,1,0,0,0,reyespa01
22,2B,Jamie Westbrook,29,21,48,40,4,6,2,0,2,7,0,0,4,14,0.15,0.234,0.35,0.584,60,14,0,1,0,2,0,westbja02
23,IF,Mickey Gasper#,28,13,23,18,1,0,0,0,0,0,0,0,4,8,0,0.217,0,0.217,-32,0,1,1,0,0,0,gaspemi01
24,IF,Zack Short,29,2,7,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0,shortza01
25,DH,Tyler Heineman#,33,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0.333,0,0.333,5,0,0,1,0,0,0,heinety01
